proto,client_id,request_id,payload_bytes,connect_time_s,rtt_s,wall_send,failed,clients,requests_per_client,total_wall_s,throughput_MBps
udp,0,0,512,0.0,0.0012217862531542778,1772757016.273262,False,10,100,0.333499,3.070472
udp,0,1,512,0.0,0.007057732902467251,1772757016.2744856,False,10,100,0.333499,3.070472
udp,0,2,512,0.0,0.003390648402273655,1772757016.2815442,False,10,100,0.333499,3.070472
udp,0,3,512,0.0,0.0035627391189336777,1772757016.284936,False,10,100,0.333499,3.070472
udp,0,4,512,0.0,0.003693963401019573,1772757016.2884996,False,10,100,0.333499,3.070472
udp,0,5,512,0.0,0.003005293197929859,1772757016.2921948,False,10,100,0.333499,3.070472
udp,0,6,512,0.0,0.003107191063463688,1772757016.295201,False,10,100,0.333499,3.070472
udp,0,7,512,0.0,0.0037706661969423294,1772757016.298309,False,10,100,0.333499,3.070472
udp,0,8,512,0.0,0.0029974225908517838,1772757016.3020809,False,10,100,0.333499,3.070472
udp,0,9,512,0.0,0.0031033819541335106,1772757016.3050792,False,10,100,0.333499,3.070472
udp,0,10,512,0.0,0.0032323533669114113,1772757016.3081837,False,10,100,0.333499,3.070472
udp,0,11,512,0.0,0.0033595897257328033,1772757016.3114169,False,10,100,0.333499,3.070472
udp,0,12,512,0.0,0.0030270805582404137,1772757016.3147774,False,10,100,0.333499,3.070472
udp,0,13,512,0.0,0.003107312135398388,1772757016.3178053,False,10,100,0.333499,3.070472
udp,0,14,512,0.0,0.003611505962908268,1772757016.3209136,False,10,100,0.333499,3.070472
udp,0,15,512,0.0,0.0029860427603125572,1772757016.324526,False,10,100,0.333499,3.070472
udp,0,16,512,0.0,0.0031171366572380066,1772757016.327513,False,10,100,0.333499,3.070472
udp,0,17,512,0.0,0.0034162690863013268,1772757016.3306315,False,10,100,0.333499,3.070472
udp,0,18,512,0.0,0.003128413110971451,1772757016.3340485,False,10,100,0.333499,3.070472
udp,0,19,512,0.0,0.0029102638363838196,1772757016.3371778,False,10,100,0.333499,3.070472
udp,0,20,512,0.0,0.002860240638256073,1772757016.340089,False,10,100,0.333499,3.070472
udp,0,21,512,0.0,0.0030560707673430443,1772757016.34295,False,10,100,0.333499,3.070472
udp,0,22,512,0.0,0.0026339897885918617,1772757016.3460073,False,10,100,0.333499,3.070472
udp,0,23,512,0.0,0.002838446758687496,1772757016.3486423,False,10,100,0.333499,3.070472
udp,0,24,512,0.0,0.003199405036866665,1772757016.3514817,False,10,100,0.333499,3.070472
udp,0,25,512,0.0,0.00266227126121521,1772757016.3546822,False,10,100,0.333499,3.070472
udp,0,26,512,0.0,0.00286906398832798,1772757016.3573453,False,10,100,0.333499,3.070472
udp,0,27,512,0.0,0.003163953311741352,1772757016.3602152,False,10,100,0.333499,3.070472
udp,0,28,512,0.0,0.003248784691095352,1772757016.36338,False,10,100,0.333499,3.070472
udp,0,29,512,0.0,0.002888500690460205,1772757016.3666296,False,10,100,0.333499,3.070472
udp,0,30,512,0.0,0.0031693950295448303,1772757016.3695195,False,10,100,0.333499,3.070472
udp,0,31,512,0.0,0.0033869678154587746,1772757016.3726897,False,10,100,0.333499,3.070472
udp,0,32,512,0.0,0.002740972675383091,1772757016.37608,False,10,100,0.333499,3.070472
udp,0,33,512,0.0,0.0030057914555072784,1772757016.378822,False,10,100,0.333499,3.070472
udp,0,34,512,0.0,0.003146138973534107,1772757016.3818316,False,10,100,0.333499,3.070472
udp,0,35,512,0.0,0.002917916513979435,1772757016.3849788,False,10,100,0.333499,3.070472
udp,0,36,512,0.0,0.002851191908121109,1772757016.3878975,False,10,100,0.333499,3.070472
udp,0,37,512,0.0,0.0032247044146060944,1772757016.3907497,False,10,100,0.333499,3.070472
udp,0,38,512,0.0,0.003254089504480362,1772757016.3939753,False,10,100,0.333499,3.070472
udp,0,39,512,0.0,0.0027289753779768944,1772757016.3972304,False,10,100,0.333499,3.070472
udp,0,40,512,0.0,0.0036257514730095863,1772757016.3999603,False,10,100,0.333499,3.070472
udp,0,41,512,0.0,0.0039467113092541695,1772757016.403587,False,10,100,0.333499,3.070472
udp,0,42,512,0.0,0.002588333562016487,1772757016.4075348,False,10,100,0.333499,3.070472
udp,0,43,512,0.0,0.0034349337220191956,1772757016.4101243,False,10,100,0.333499,3.070472
udp,0,44,512,0.0,0.0037651602178812027,1772757016.4135602,False,10,100,0.333499,3.070472
udp,0,45,512,0.0,0.0030978526920080185,1772757016.417326,False,10,100,0.333499,3.070472
udp,0,46,512,0.0,0.0029293764382600784,1772757016.4204247,False,10,100,0.333499,3.070472
udp,0,47,512,0.0,0.0036965422332286835,1772757016.423355,False,10,100,0.333499,3.070472
udp,0,48,512,0.0,0.0036114463582634926,1772757016.4270525,False,10,100,0.333499,3.070472
udp,0,49,512,0.0,0.0027042850852012634,1772757016.430665,False,10,100,0.333499,3.070472
udp,0,50,512,0.0,0.003665660507977009,1772757016.43337,False,10,100,0.333499,3.070472
udp,0,51,512,0.0,0.0037617404013872147,1772757016.4370368,False,10,100,0.333499,3.070472
udp,0,52,512,0.0,0.003040475770831108,1772757016.4407995,False,10,100,0.333499,3.070472
udp,0,53,512,0.0,0.0031838268041610718,1772757016.443841,False,10,100,0.333499,3.070472
udp,0,54,512,0.0,0.0036929408088326454,1772757016.447026,False,10,100,0.333499,3.070472
udp,0,55,512,0.0,0.003490724600851536,1772757016.4507198,False,10,100,0.333499,3.070472
udp,0,56,512,0.0,0.0028746463358402252,1772757016.4542112,False,10,100,0.333499,3.070472
udp,0,57,512,0.0,0.003731619566679001,1772757016.457087,False,10,100,0.333499,3.070472
udp,0,58,512,0.0,0.0038811201229691505,1772757016.4608195,False,10,100,0.333499,3.070472
udp,0,59,512,0.0,0.0028335489332675934,1772757016.4647014,False,10,100,0.333499,3.070472
udp,0,60,512,0.0,0.003496742807328701,1772757016.4675362,False,10,100,0.333499,3.070472
udp,0,61,512,0.0,0.003780202940106392,1772757016.4710336,False,10,100,0.333499,3.070472
udp,0,62,512,0.0,0.003297933377325535,1772757016.4748147,False,10,100,0.333499,3.070472
udp,0,63,512,0.0,0.0032406365498900414,1772757016.4781137,False,10,100,0.333499,3.070472
udp,0,64,512,0.0,0.0037460969761013985,1772757016.4813552,False,10,100,0.333499,3.070472
udp,0,65,512,0.0,0.0035330411046743393,1772757016.4851027,False,10,100,0.333499,3.070472
udp,0,66,512,0.0,0.002889665775001049,1772757016.4886367,False,10,100,0.333499,3.070472
udp,0,67,512,0.0,0.0036953650414943695,1772757016.491527,False,10,100,0.333499,3.070472
udp,0,68,512,0.0,0.004106528125703335,1772757016.4952235,False,10,100,0.333499,3.070472
udp,0,69,512,0.0,0.002695915289223194,1772757016.4993358,False,10,100,0.333499,3.070472
udp,0,70,512,0.0,0.003338773734867573,1772757016.5020318,False,10,100,0.333499,3.070472
udp,0,71,512,0.0,0.003738928586244583,1772757016.5053744,False,10,100,0.333499,3.070472
udp,0,72,512,0.0,0.0034384839236736298,1772757016.5091143,False,10,100,0.333499,3.070472
udp,0,73,512,0.0,0.0031294384971261024,1772757016.5125563,False,10,100,0.333499,3.070472
udp,0,74,512,0.0,0.003666190430521965,1772757016.5156868,False,10,100,0.333499,3.070472
udp,0,75,512,0.0,0.003843364305794239,1772757016.5193536,False,10,100,0.333499,3.070472
udp,0,76,512,0.0,0.002756335772573948,1772757016.523198,False,10,100,0.333499,3.070472
udp,0,77,512,0.0,0.003594163805246353,1772757016.5259557,False,10,100,0.333499,3.070472
udp,0,78,512,0.0,0.0038414914160966873,1772757016.5295506,False,10,100,0.333499,3.070472
udp,0,79,512,0.0,0.0032774796709418297,1772757016.533393,False,10,100,0.333499,3.070472
udp,0,80,512,0.0,0.0033439267426729202,1772757016.5366712,False,10,100,0.333499,3.070472
udp,0,81,512,0.0,0.0037618884816765785,1772757016.5400164,False,10,100,0.333499,3.070472
udp,0,82,512,0.0,0.003566315397620201,1772757016.5437791,False,10,100,0.333499,3.070472
udp,0,83,512,0.0,0.0028699757531285286,1772757016.547346,False,10,100,0.333499,3.070472
udp,0,84,512,0.0,0.003410576842725277,1772757016.5502172,False,10,100,0.333499,3.070472
udp,0,85,512,0.0,0.003895348869264126,1772757016.5536287,False,10,100,0.333499,3.070472
udp,0,86,512,0.0,0.002755650319159031,1772757016.557525,False,10,100,0.333499,3.070472
udp,0,87,512,0.0,0.003376167267560959,1772757016.5602815,False,10,100,0.333499,3.070472
udp,0,88,512,0.0,0.003778073936700821,1772757016.5636585,False,10,100,0.333499,3.070472
udp,0,89,512,0.0,0.003505225293338299,1772757016.5674376,False,10,100,0.333499,3.070472
udp,0,90,512,0.0,0.0030406955629587173,1772757016.5709438,False,10,100,0.333499,3.070472
udp,0,91,512,0.0,0.003504723310470581,1772757016.5739853,False,10,100,0.333499,3.070472
udp,0,92,512,0.0,0.003831462934613228,1772757016.577491,False,10,100,0.333499,3.070472
udp,0,93,512,0.0,0.00283003319054842,1772757016.5813239,False,10,100,0.333499,3.070472
udp,0,94,512,0.0,0.0032462049275636673,1772757016.5841546,False,10,100,0.333499,3.070472
udp,0,95,512,0.0,0.003436896950006485,1772757016.5874016,False,10,100,0.333499,3.070472
udp,0,96,512,0.0,0.0031609367579221725,1772757016.5908396,False,10,100,0.333499,3.070472
udp,0,97,512,0.0,0.0030448390170931816,1772757016.5940013,False,10,100,0.333499,3.070472
udp,0,98,512,0.0,0.0033441195264458656,1772757016.5970473,False,10,100,0.333499,3.070472
udp,0,99,512,0.0,0.003533273935317993,1772757016.600392,False,10,100,0.333499,3.070472
udp,1,0,512,0.0,0.002346075139939785,1772757016.2733924,False,10,100,0.333499,3.070472
udp,1,1,512,0.0,0.006200090050697327,1772757016.27574,False,10,100,0.333499,3.070472
udp,1,2,512,0.0,0.0032943356782197952,1772757016.2819414,False,10,100,0.333499,3.070472
udp,1,3,512,0.0,0.0036204326897859573,1772757016.285237,False,10,100,0.333499,3.070472
udp,1,4,512,0.0,0.0036533093079924583,1772757016.2888591,False,10,100,0.333499,3.070472
udp,1,5,512,0.0,0.003001084551215172,1772757016.292514,False,10,100,0.333499,3.070472
udp,1,6,512,0.0,0.0031408406794071198,1772757016.2955165,False,10,100,0.333499,3.070472
udp,1,7,512,0.0,0.0037247389554977417,1772757016.2986584,False,10,100,0.333499,3.070472
udp,1,8,512,0.0,0.002994649112224579,1772757016.3023844,False,10,100,0.333499,3.070472
udp,1,9,512,0.0,0.003147128038108349,1772757016.30538,False,10,100,0.333499,3.070472
udp,1,10,512,0.0,0.003200918436050415,1772757016.308529,False,10,100,0.333499,3.070472
udp,1,11,512,0.0,0.003352103754878044,1772757016.3117309,False,10,100,0.333499,3.070472
udp,1,12,512,0.0,0.002985595725476742,1772757016.3150842,False,10,100,0.333499,3.070472
udp,1,13,512,0.0,0.0032255128026008606,1772757016.3180714,False,10,100,0.333499,3.070472
udp,1,14,512,0.0,0.0035541467368602753,1772757016.3212984,False,10,100,0.333499,3.070472
udp,1,15,512,0.0,0.0029959259554743767,1772757016.324854,False,10,100,0.333499,3.070472
udp,1,16,512,0.0,0.0030796416103839874,1772757016.3278515,False,10,100,0.333499,3.070472
udp,1,17,512,0.0,0.0034623155370354652,1772757016.3309326,False,10,100,0.333499,3.070472
udp,1,18,512,0.0,0.0030988119542598724,1772757016.3343961,False,10,100,0.333499,3.070472
udp,1,19,512,0.0,0.0028392523527145386,1772757016.3374965,False,10,100,0.333499,3.070472
udp,1,20,512,0.0,0.002933821640908718,1772757016.3403368,False,10,100,0.333499,3.070472
udp,1,21,512,0.0,0.002973572351038456,1772757016.3432722,False,10,100,0.333499,3.070472
