proto,client_id,request_id,payload_bytes,connect_time_s,rtt_s,wall_send,clients,requests_per_client,total_wall_s,throughput_MBps
tcp,0,0,8192,0.0012227753177285194,0.0015666261315345764,1772756826.447269,100,100,0.728679,224.845325
tcp,0,1,8192,0.0,0.0025695404037833214,1772756826.448839,100,100,0.728679,224.845325
tcp,0,2,8192,0.0,0.0018444601446390152,1772756826.4514098,100,100,0.728679,224.845325
tcp,0,3,8192,0.0,0.0011811330914497375,1772756826.453256,100,100,0.728679,224.845325
tcp,0,4,8192,0.0,0.000941988080739975,1772756826.4544466,100,100,0.728679,224.845325
tcp,0,5,8192,0.0,0.0019273189827799797,1772756826.4553897,100,100,0.728679,224.845325
tcp,0,6,8192,0.0,0.0014825761318206787,1772756826.4573185,100,100,0.728679,224.845325
tcp,0,7,8192,0.0,0.002678435295820236,1772756826.4588025,100,100,0.728679,224.845325
tcp,0,8,8192,0.0,0.0036888355389237404,1772756826.4614842,100,100,0.728679,224.845325
tcp,0,9,8192,0.0,0.004590656608343124,1772756826.4651747,100,100,0.728679,224.845325
tcp,0,10,8192,0.0,0.003714301623404026,1772756826.4697661,100,100,0.728679,224.845325
tcp,0,11,8192,0.0,0.004042008891701698,1772756826.4734812,100,100,0.728679,224.845325
tcp,0,12,8192,0.0,0.004227413795888424,1772756826.4775243,100,100,0.728679,224.845325
tcp,0,13,8192,0.0,0.006101780571043491,1772756826.4817529,100,100,0.728679,224.845325
tcp,0,14,8192,0.0,0.005698406137526035,1772756826.4878557,100,100,0.728679,224.845325
tcp,0,15,8192,0.0,0.006260416470468044,1772756826.493558,100,100,0.728679,224.845325
tcp,0,16,8192,0.0,0.00697894673794508,1772756826.4998193,100,100,0.728679,224.845325
tcp,0,17,8192,0.0,0.0047467490658164024,1772756826.506801,100,100,0.728679,224.845325
tcp,0,18,8192,0.0,0.007732284255325794,1772756826.5115488,100,100,0.728679,224.845325
tcp,0,19,8192,0.0,0.0070052603259682655,1772756826.5192823,100,100,0.728679,224.845325
tcp,0,20,8192,0.0,0.006835216656327248,1772756826.5262883,100,100,0.728679,224.845325
tcp,0,21,8192,0.0,0.004819422960281372,1772756826.5331247,100,100,0.728679,224.845325
tcp,0,22,8192,0.0,0.00706790667027235,1772756826.5379446,100,100,0.728679,224.845325
tcp,0,23,8192,0.0,0.0070654284209012985,1772756826.5450168,100,100,0.728679,224.845325
tcp,0,24,8192,0.0,0.004051578231155872,1772756826.5520864,100,100,0.728679,224.845325
tcp,0,25,8192,0.0,0.007846716791391373,1772756826.5561423,100,100,0.728679,224.845325
tcp,0,26,8192,0.0,0.007038316689431667,1772756826.5639899,100,100,0.728679,224.845325
tcp,0,27,8192,0.0,0.007078422233462334,1772756826.571029,100,100,0.728679,224.845325
tcp,0,28,8192,0.0,0.004605398513376713,1772756826.5781088,100,100,0.728679,224.845325
tcp,0,29,8192,0.0,0.007566428743302822,1772756826.582715,100,100,0.728679,224.845325
tcp,0,30,8192,0.0,0.006843556649982929,1772756826.5902822,100,100,0.728679,224.845325
tcp,0,31,8192,0.0,0.004230151884257793,1772756826.597127,100,100,0.728679,224.845325
tcp,0,32,8192,0.0,0.006626884452998638,1772756826.601358,100,100,0.728679,224.845325
tcp,0,33,8192,0.0,0.008814044296741486,1772756826.6079865,100,100,0.728679,224.845325
tcp,0,34,8192,0.0,0.004308084025979042,1772756826.6168015,100,100,0.728679,224.845325
tcp,0,35,8192,0.0,0.007586123421788216,1772756826.6211104,100,100,0.728679,224.845325
tcp,0,36,8192,0.0,0.007302222773432732,1772756826.6286979,100,100,0.728679,224.845325
tcp,0,37,8192,0.0,0.004089877009391785,1772756826.636001,100,100,0.728679,224.845325
tcp,0,38,8192,0.0,0.00677777174860239,1772756826.640092,100,100,0.728679,224.845325
tcp,0,39,8192,0.0,0.008313247002661228,1772756826.6468704,100,100,0.728679,224.845325
tcp,0,40,8192,0.0,0.006822869181632996,1772756826.6551843,100,100,0.728679,224.845325
tcp,0,41,8192,0.0,0.004066711291670799,1772756826.6620085,100,100,0.728679,224.845325
tcp,0,42,8192,0.0,0.0072958702221512794,1772756826.6660793,100,100,0.728679,224.845325
tcp,0,43,8192,0.0,0.007838466204702854,1772756826.673376,100,100,0.728679,224.845325
tcp,0,44,8192,0.0,0.004288200289011002,1772756826.6812158,100,100,0.728679,224.845325
tcp,0,45,8192,0.0,0.006811537779867649,1772756826.6855044,100,100,0.728679,224.845325
tcp,0,46,8192,0.0,0.007612316869199276,1772756826.6923168,100,100,0.728679,224.845325
tcp,0,47,8192,0.0,0.007316350005567074,1772756826.69993,100,100,0.728679,224.845325
tcp,0,48,8192,0.0,0.004312671720981598,1772756826.7072473,100,100,0.728679,224.845325
tcp,0,49,8192,0.0,0.007276423275470734,1772756826.7115607,100,100,0.728679,224.845325
tcp,0,50,8192,0.0,0.007605940103530884,1772756826.718838,100,100,0.728679,224.845325
tcp,0,51,8192,0.0,0.007065951824188232,1772756826.7264447,100,100,0.728679,224.845325
tcp,0,52,8192,0.0,0.0040375422686338425,1772756826.733512,100,100,0.728679,224.845325
tcp,0,53,8192,0.0,0.007762188091874123,1772756826.7375503,100,100,0.728679,224.845325
tcp,0,54,8192,0.0,0.007152891717851162,1772756826.745314,100,100,0.728679,224.845325
tcp,0,55,8192,0.0,0.004536181688308716,1772756826.7524674,100,100,0.728679,224.845325
tcp,0,56,8192,0.0,0.006819004192948341,1772756826.7570045,100,100,0.728679,224.845325
tcp,0,57,8192,0.0,0.0075751421973109245,1772756826.7638242,100,100,0.728679,224.845325
tcp,0,58,8192,0.0,0.007108048535883427,1772756826.7714,100,100,0.728679,224.845325
tcp,0,59,8192,0.0,0.004514685831964016,1772756826.7785091,100,100,0.728679,224.845325
tcp,0,60,8192,0.0,0.006836805492639542,1772756826.783027,100,100,0.728679,224.845325
tcp,0,61,8192,0.0,0.00782836601138115,1772756826.7898679,100,100,0.728679,224.845325
tcp,0,62,8192,0.0,0.005355185829102993,1772756826.797697,100,100,0.728679,224.845325
