proto,client_id,request_id,payload_bytes,connect_time_s,rtt_s,wall_send,clients,requests_per_client,total_wall_s,throughput_MBps
tcp,0,0,512,8.288677781820297e-05,0.00027374643832445145,1772757276.5342538,1,100,0.003101,33.022969
tcp,0,1,512,0.0,4.300195723772049e-05,1772757276.5345302,1,100,0.003101,33.022969
tcp,0,2,512,0.0,3.4656375646591187e-05,1772757276.5345743,1,100,0.003101,33.022969
tcp,0,3,512,0.0,2.8320588171482086e-05,1772757276.5346096,1,100,0.003101,33.022969
tcp,0,4,512,0.0,2.5641173124313354e-05,1772757276.5346386,1,100,0.003101,33.022969
tcp,0,5,512,0.0,2.5665387511253357e-05,1772757276.534665,1,100,0.003101,33.022969
tcp,0,6,512,0.0,2.4947337806224823e-05,1772757276.534694,1,100,0.003101,33.022969
tcp,0,7,512,0.0,2.216733992099762e-05,1772757276.534717,1,100,0.003101,33.022969
tcp,0,8,512,0.0,2.8160400688648224e-05,1772757276.5347397,1,100,0.003101,33.022969
tcp,0,9,512,0.0,2.4416483938694e-05,1772757276.5347686,1,100,0.003101,33.022969
tcp,0,10,512,0.0,2.328585833311081e-05,1772757276.5347934,1,100,0.003101,33.022969
tcp,0,11,512,0.0,2.370402216911316e-05,1772757276.5348172,1,100,0.003101,33.022969
tcp,0,12,512,0.0,2.367701381444931e-05,1772757276.5348415,1,100,0.003101,33.022969
tcp,0,13,512,0.0,2.37124040722847e-05,1772757276.5348656,1,100,0.003101,33.022969
tcp,0,14,512,0.0,2.3329630494117737e-05,1772757276.53489,1,100,0.003101,33.022969
tcp,0,15,512,0.0,2.299528568983078e-05,1772757276.5349138,1,100,0.003101,33.022969
tcp,0,16,512,0.0,2.3622997105121613e-05,1772757276.5349374,1,100,0.003101,33.022969
tcp,0,17,512,0.0,2.3612752556800842e-05,1772757276.5349615,1,100,0.003101,33.022969
tcp,0,18,512,0.0,2.3098662495613098e-05,1772757276.5349858,1,100,0.003101,33.022969
tcp,0,19,512,0.0,2.311915159225464e-05,1772757276.5350094,1,100,0.003101,33.022969
tcp,0,20,512,0.0,2.1704472601413727e-05,1772757276.535035,1,100,0.003101,33.022969
tcp,0,21,512,0.0,2.2025778889656067e-05,1772757276.5350573,1,100,0.003101,33.022969
tcp,0,22,512,0.0,2.3419968783855438e-05,1772757276.5350797,1,100,0.003101,33.022969
tcp,0,23,512,0.0,2.2931955754756927e-05,1772757276.5351038,1,100,0.003101,33.022969
tcp,0,24,512,0.0,2.3136846721172333e-05,1772757276.535127,1,100,0.003101,33.022969
tcp,0,25,512,0.0,2.291891723871231e-05,1772757276.535151,1,100,0.003101,33.022969
tcp,0,26,512,0.0,2.3356638848781586e-05,1772757276.5351744,1,100,0.003101,33.022969
tcp,0,27,512,0.0,2.3086555302143097e-05,1772757276.5351985,1,100,0.003101,33.022969
tcp,0,28,512,0.0,2.2586435079574585e-05,1772757276.535222,1,100,0.003101,33.022969
tcp,0,29,512,0.0,2.3079104721546173e-05,1772757276.535245,1,100,0.003101,33.022969
tcp,0,30,512,0.0,2.306140959262848e-05,1772757276.5352685,1,100,0.003101,33.022969
tcp,0,31,512,0.0,2.308189868927002e-05,1772757276.5352921,1,100,0.003101,33.022969
