proto,client_id,request_id,payload_bytes,connect_time_s,rtt_s,wall_send,clients,requests_per_client,total_wall_s,throughput_MBps
tcp,0,0,64,0.00016828998923301697,0.0002843141555786133,1772757286.453449,100,100,0.387146,3.306244
tcp,0,1,64,0.0,0.0005529941990971565,1772757286.4537377,100,100,0.387146,3.306244
tcp,0,2,64,0.0,0.00038795173168182373,1772757286.4542925,100,100,0.387146,3.306244
tcp,0,3,64,0.0,0.00018622633069753647,1772757286.454682,100,100,0.387146,3.306244
tcp,0,4,64,0.0,0.0005205990746617317,1772757286.4548695,100,100,0.387146,3.306244
tcp,0,5,64,0.0,0.0007044319063425064,1772757286.4553914,100,100,0.387146,3.306244
tcp,0,6,64,0.0,0.0006352020427584648,1772757286.4560971,100,100,0.387146,3.306244
tcp,0,7,64,0.0,0.0014511635527014732,1772757286.4567335,100,100,0.387146,3.306244
tcp,0,8,64,0.0,0.001209871843457222,1772757286.4581854,100,100,0.387146,3.306244
tcp,0,9,64,0.0,0.0024883514270186424,1772757286.4593966,100,100,0.387146,3.306244
tcp,0,10,64,0.0,0.003195664845407009,1772757286.461887,100,100,0.387146,3.306244
tcp,0,11,64,0.0,0.0030786842107772827,1772757286.4650838,100,100,0.387146,3.306244
tcp,0,12,64,0.0,0.0023356257006525993,1772757286.4681637,100,100,0.387146,3.306244
tcp,0,13,64,0.0,0.0022057900205254555,1772757286.4705012,100,100,0.387146,3.306244
tcp,0,14,64,0.0,0.002928975038230419,1772757286.4727123,100,100,0.387146,3.306244
tcp,0,15,64,0.0,0.002070687711238861,1772757286.4756424,100,100,0.387146,3.306244
tcp,0,16,64,0.0,0.002988590858876705,1772757286.4777174,100,100,0.387146,3.306244
tcp,0,17,64,0.0,0.00589801836758852,1772757286.4807074,100,100,0.387146,3.306244
tcp,0,18,64,0.0,0.004240875132381916,1772757286.4866066,100,100,0.387146,3.306244
tcp,0,19,64,0.0,0.0037275636568665504,1772757286.4908493,100,100,0.387146,3.306244
tcp,0,20,64,0.0,0.0037195049226284027,1772757286.4945776,100,100,0.387146,3.306244
tcp,0,21,64,0.0,0.0037170909345149994,1772757286.4982984,100,100,0.387146,3.306244
tcp,0,22,64,0.0,0.00387019757181406,1772757286.5020165,100,100,0.387146,3.306244
tcp,0,23,64,0.0,0.0037886910140514374,1772757286.5058882,100,100,0.387146,3.306244
tcp,0,24,64,0.0,0.00385474506765604,1772757286.509678,100,100,0.387146,3.306244
tcp,0,25,64,0.0,0.00379939004778862,1772757286.5135336,100,100,0.387146,3.306244
tcp,0,26,64,0.0,0.003833731636404991,1772757286.5173342,100,100,0.387146,3.306244
tcp,0,27,64,0.0,0.003823298029601574,1772757286.5211697,100,100,0.387146,3.306244
tcp,0,28,64,0.0,0.0038586677983403206,1772757286.5249941,100,100,0.387146,3.306244
tcp,0,29,64,0.0,0.0037583643570542336,1772757286.5288537,100,100,0.387146,3.306244
tcp,0,30,64,0.0,0.003796268254518509,1772757286.532613,100,100,0.387146,3.306244
tcp,0,31,64,0.0,0.0038038641214370728,1772757286.5364106,100,100,0.387146,3.306244
tcp,0,32,64,0.0,0.0037540579214692116,1772757286.5402184,100,100,0.387146,3.306244
tcp,0,33,64,0.0,0.0035982755944132805,1772757286.543974,100,100,0.387146,3.306244
tcp,0,34,64,0.0,0.0035097552463412285,1772757286.547573,100,100,0.387146,3.306244
tcp,0,35,64,0.0,0.003535959869623184,1772757286.5510838,100,100,0.387146,3.306244
tcp,0,36,64,0.0,0.003527452237904072,1772757286.5546207,100,100,0.387146,3.306244
tcp,0,37,64,0.0,0.0034988094121217728,1772757286.558149,100,100,0.387146,3.306244
tcp,0,38,64,0.0,0.003539102151989937,1772757286.5616488,100,100,0.387146,3.306244
tcp,0,39,64,0.0,0.0036956192925572395,1772757286.5651894,100,100,0.387146,3.306244
tcp,0,40,64,0.0,0.003686283715069294,1772757286.5688891,100,100,0.387146,3.306244
tcp,0,41,64,0.0,0.0036934707313776016,1772757286.5725768,100,100,0.387146,3.306244
tcp,0,42,64,0.0,0.0036893263459205627,1772757286.5762713,100,100,0.387146,3.306244
tcp,0,43,64,0.0,0.003733067773282528,1772757286.5799615,100,100,0.387146,3.306244
tcp,0,44,64,0.0,0.003741217777132988,1772757286.5836968,100,100,0.387146,3.306244
tcp,0,45,64,0.0,0.003721552900969982,1772757286.5874388,100,100,0.387146,3.306244
tcp,0,46,64,0.0,0.003686079755425453,1772757286.5911613,100,100,0.387146,3.306244
tcp,0,47,64,0.0,0.003717132844030857,1772757286.5948484,100,100,0.387146,3.306244
tcp,0,48,64,0.0,0.0037825312465429306,1772757286.5985668,100,100,0.387146,3.306244
tcp,0,49,64,0.0,0.0037436112761497498,1772757286.6023505,100,100,0.387146,3.306244
tcp,0,50,64,0.0,0.0037509826943278313,1772757286.6060948,100,100,0.387146,3.306244
tcp,0,51,64,0.0,0.0036765206605196,1772757286.609847,100,100,0.387146,3.306244
tcp,0,52,64,0.0,0.003834581933915615,1772757286.6135244,100,100,0.387146,3.306244
tcp,0,53,64,0.0,0.0037295660004019737,1772757286.6173608,100,100,0.387146,3.306244
tcp,0,54,64,0.0,0.0037468858063220978,1772757286.6210916,100,100,0.387146,3.306244
tcp,0,55,64,0.0,0.00372319296002388,1772757286.624839,100,100,0.387146,3.306244
tcp,0,56,64,0.0,0.003687494434416294,1772757286.6285632,100,100,0.387146,3.306244
tcp,0,57,64,0.0,0.003678698092699051,1772757286.632252,100,100,0.387146,3.306244
tcp,0,58,64,0.0,0.003717949613928795,1772757286.6359315,100,100,0.387146,3.306244
tcp,0,59,64,0.0,0.0036883316934108734,1772757286.63965,100,100,0.387146,3.306244
tcp,0,60,64,0.0,0.003746945410966873,1772757286.6433396,100,100,0.387146,3.306244
tcp,0,61,64,0.0,0.003710675984621048,1772757286.6470878,100,100,0.387146,3.306244
tcp,0,62,64,0.0,0.003571845591068268,1772757286.6508,100,100,0.387146,3.306244
tcp,0,63,64,0.0,0.0036407019942998886,1772757286.6543732,100,100,0.387146,3.306244
tcp,0,64,64,0.0,0.0036981701850891113,1772757286.6580153,100,100,0.387146,3.306244
tcp,0,65,64,0.0,0.003641790710389614,1772757286.6617198,100,100,0.387146,3.306244
tcp,0,66,64,0.0,0.0037365732714533806,1772757286.6653626,100,100,0.387146,3.306244
tcp,0,67,64,0.0,0.00376882404088974,1772757286.6691003,100,100,0.387146,3.306244
tcp,0,68,64,0.0,0.003754276782274246,1772757286.67287,100,100,0.387146,3.306244
tcp,0,69,64,0.0,0.0037334514781832695,1772757286.6766253,100,100,0.387146,3.306244
tcp,0,70,64,0.0,0.0038154972717165947,1772757286.6803596,100,100,0.387146,3.306244
tcp,0,71,64,0.0,0.003749571740627289,1772757286.6841762,100,100,0.387146,3.306244
tcp,0,72,64,0.0,0.0037492383271455765,1772757286.6879265,100,100,0.387146,3.306244
tcp,0,73,64,0.0,0.003739144653081894,1772757286.6916804,100,100,0.387146,3.306244
tcp,0,74,64,0.0,0.003688654862344265,1772757286.6954207,100,100,0.387146,3.306244
tcp,0,75,64,0.0,0.003756091929972172,1772757286.69911,100,100,0.387146,3.306244
tcp,0,76,64,0.0,0.0036236215382814407,1772757286.7028675,100,100,0.387146,3.306244
tcp,0,77,64,0.0,0.0036039380356669426,1772757286.7064922,100,100,0.387146,3.306244
tcp,0,78,64,0.0,0.003572789952158928,1772757286.710097,100,100,0.387146,3.306244
tcp,0,79,64,0.0,0.003598489798605442,1772757286.713671,100,100,0.387146,3.306244
tcp,0,80,64,0.0,0.0036532822996377945,1772757286.7172704,100,100,0.387146,3.306244
tcp,0,81,64,0.0,0.0037654945626854897,1772757286.7209244,100,100,0.387146,3.306244
tcp,0,82,64,0.0,0.003683832474052906,1772757286.724691,100,100,0.387146,3.306244
tcp,0,83,64,0.0,0.003742060624063015,1772757286.7283754,100,100,0.387146,3.306244
tcp,0,84,64,0.0,0.0036908332258462906,1772757286.732119,100,100,0.387146,3.306244
tcp,0,85,64,0.0,0.0035975659266114235,1772757286.735811,100,100,0.387146,3.306244
tcp,0,86,64,0.0,0.003621934913098812,1772757286.7394094,100,100,0.387146,3.306244
tcp,0,87,64,0.0,0.00383155420422554,1772757286.7430322,100,100,0.387146,3.306244
tcp,0,88,64,0.0,0.0037163058295845985,1772757286.7468655,100,100,0.387146,3.306244
tcp,0,89,64,0.0,0.00357082299888134,1772757286.7505853,100,100,0.387146,3.306244
tcp,0,90,64,0.0,0.0037018153816461563,1772757286.7541568,100,100,0.387146,3.306244
tcp,0,91,64,0.0,0.003771950490772724,1772757286.7578595,100,100,0.387146,3.306244
tcp,0,92,64,0.0,0.0037745581939816475,1772757286.7616324,100,100,0.387146,3.306244
tcp,0,93,64,0.0,0.003678770735859871,1772757286.7654083,100,100,0.387146,3.306244
tcp,0,94,64,0.0,0.0037246858701109886,1772757286.769088,100,100,0.387146,3.306244
tcp,0,95,64,0.0,0.007274092175066471,1772757286.7728136,100,100,0.387146,3.306244
tcp,0,96,64,0.0,0.003640279173851013,1772757286.7800887,100,100,0.387146,3.306244
tcp,0,97,64,0.0,0.0036352667957544327,1772757286.7837296,100,100,0.387146,3.306244
tcp,0,98,64,0.0,0.0037117302417755127,1772757286.787366,100,100,0.387146,3.306244
tcp,0,99,64,0.0,0.003702571615576744,1772757286.7910786,100,100,0.387146,3.306244
tcp,1,0,64,0.000138917937874794,0.00030504073947668076,1772757286.4535577,100,100,0.387146,3.306244
tcp,1,1,64,0.0,0.0005401819944381714,1772757286.4538643,100,100,0.387146,3.306244
tcp,1,2,64,0.0,0.0001833224669098854,1772757286.4544058,100,100,0.387146,3.306244
tcp,1,3,64,0.0,0.00035744160413742065,1772757286.4545906,100,100,0.387146,3.306244
tcp,1,4,64,0.0,0.000676383264362812,1772757286.454949,100,100,0.387146,3.306244
tcp,1,5,64,0.0,0.00036036688834428787,1772757286.4556274,100,100,0.387146,3.306244
tcp,1,6,64,0.0,0.0007029538974165916,1772757286.4559886,100,100,0.387146,3.306244
tcp,1,7,64,0.0,0.0007349764928221703,1772757286.4566927,100,100,0.387146,3.306244
tcp,1,8,64,0.0,0.001152409240603447,1772757286.4574287,100,100,0.387146,3.306244
tcp,1,9,64,0.0,0.00174785777926445,1772757286.4585826,100,100,0.387146,3.306244
tcp,1,10,64,0.0,0.002990191802382469,1772757286.4603314,100,100,0.387146,3.306244
tcp,1,11,64,0.0,0.0036576353013515472,1772757286.4633229,100,100,0.387146,3.306244
tcp,1,12,64,0.0,0.0024105366319417953,1772757286.466982,100,100,0.387146,3.306244
tcp,1,13,64,0.0,0.002199229784309864,1772757286.4693935,100,100,0.387146,3.306244
tcp,1,14,64,0.0,0.0029958877712488174,1772757286.4715936,100,100,0.387146,3.306244
tcp,1,15,64,0.0,0.0020433273166418076,1772757286.4745908,100,100,0.387146,3.306244
tcp,1,16,64,0.0,0.0022457456216216087,1772757286.4766352,100,100,0.387146,3.306244
tcp,1,17,64,0.0,0.00440018717199564,1772757286.4788823,100,100,0.387146,3.306244
tcp,1,18,64,0.0,0.005515876226127148,1772757286.4832835,100,100,0.387146,3.306244
tcp,1,19,64,0.0,0.0038433559238910675,1772757286.4888005,100,100,0.387146,3.306244
tcp,1,20,64,0.0,0.0038047125563025475,1772757286.492645,100,100,0.387146,3.306244
tcp,1,21,64,0.0,0.0037249885499477386,1772757286.496451,100,100,0.387146,3.306244
tcp,1,22,64,0.0,0.003729495219886303,1772757286.500177,100,100,0.387146,3.306244
tcp,1,23,64,0.0,0.0038361120969057083,1772757286.5039077,100,100,0.387146,3.306244
tcp,1,24,64,0.0,0.0038025295361876488,1772757286.5077448,100,100,0.387146,3.306244
tcp,1,25,64,0.0,0.00382868479937315,1772757286.5115488,100,100,0.387146,3.306244
tcp,1,26,64,0.0,0.0037941616028547287,1772757286.5153787,100,100,0.387146,3.306244
tcp,1,27,64,0.0,0.00384440366178751,1772757286.5191739,100,100,0.387146,3.306244
tcp,1,28,64,0.0,0.003869961015880108,1772757286.5230196,100,100,0.387146,3.306244
tcp,1,29,64,0.0,0.0037983953952789307,1772757286.5268943,100,100,0.387146,3.306244
tcp,1,30,64,0.0,0.003791486844420433,1772757286.5306935,100,100,0.387146,3.306244
tcp,1,31,64,0.0,0.0037980517372488976,1772757286.5344865,100,100,0.387146,3.306244
tcp,1,32,64,0.0,0.0037826374173164368,1772757286.5382855,100,100,0.387146,3.306244
tcp,1,33,64,0.0,0.0036513470113277435,1772757286.5420694,100,100,0.387146,3.306244
tcp,1,34,64,0.0,0.003575749695301056,1772757286.5457218,100,100,0.387146,3.306244
tcp,1,35,64,0.0,0.0035160304978489876,1772757286.5492985,100,100,0.387146,3.306244
tcp,1,36,64,0.0,0.003549237735569477,1772757286.5528157,100,100,0.387146,3.306244
tcp,1,37,64,0.0,0.003514527343213558,1772757286.5563688,100,100,0.387146,3.306244
tcp,1,38,64,0.0,0.003465348854660988,1772757286.5598843,100,100,0.387146,3.306244
tcp,1,39,64,0.0,0.0035968823358416557,1772757286.5633507,100,100,0.387146,3.306244
tcp,1,40,64,0.0,0.0037322817370295525,1772757286.5669487,100,100,0.387146,3.306244
tcp,1,41,64,0.0,0.003684001974761486,1772757286.570682,100,100,0.387146,3.306244
tcp,1,42,64,0.0,0.00369269959628582,1772757286.5743673,100,100,0.387146,3.306244
tcp,1,43,64,0.0,0.0036884481087327003,1772757286.578061,100,100,0.387146,3.306244
tcp,1,44,64,0.0,0.003776627592742443,1772757286.5817506,100,100,0.387146,3.306244
tcp,1,45,64,0.0,0.003712829202413559,1772757286.5855284,100,100,0.387146,3.306244
tcp,1,46,64,0.0,0.0037039127200841904,1772757286.5892425,100,100,0.387146,3.306244
tcp,1,47,64,0.0,0.003686443902552128,1772757286.5929472,100,100,0.387146,3.306244
tcp,1,48,64,0.0,0.0037432946264743805,1772757286.5966349,100,100,0.387146,3.306244
tcp,1,49,64,0.0,0.003798510879278183,1772757286.6003792,100,100,0.387146,3.306244
tcp,1,50,64,0.0,0.00376733485609293,1772757286.6041787,100,100,0.387146,3.306244
tcp,1,51,64,0.0,0.0036752764135599136,1772757286.6079473,100,100,0.387146,3.306244
tcp,1,52,64,0.0,0.003781050443649292,1772757286.6116238,100,100,0.387146,3.306244
tcp,1,53,64,0.0,0.003784394823014736,1772757286.6154091,100,100,0.387146,3.306244
tcp,1,54,64,0.0,0.0037381481379270554,1772757286.6191943,100,100,0.387146,3.306244
tcp,1,55,64,0.0,0.003724046051502228,1772757286.6229339,100,100,0.387146,3.306244
tcp,1,56,64,0.0,0.003690470941364765,1772757286.626659,100,100,0.387146,3.306244
tcp,1,57,64,0.0,0.003722059540450573,1772757286.6303506,100,100,0.387146,3.306244
tcp,1,58,64,0.0,0.0037117889150977135,1772757286.6340735,100,100,0.387146,3.306244
tcp,1,59,64,0.0,0.003693132661283016,1772757286.6377866,100,100,0.387146,3.306244
tcp,1,60,64,0.0,0.003704979084432125,1772757286.6414807,100,100,0.387146,3.306244
tcp,1,61,64,0.0,0.003759177401661873,1772757286.6451871,100,100,0.387146,3.306244
tcp,1,62,64,0.0,0.0036098621785640717,1772757286.6489472,100,100,0.387146,3.306244
tcp,1,63,64,0.0,0.0036574741825461388,1772757286.652558,100,100,0.387146,3.306244
tcp,1,64,64,0.0,0.003642890602350235,1772757286.6562166,100,100,0.387146,3.306244
tcp,1,65,64,0.0,0.003741922788321972,1772757286.659861,100,100,0.387146,3.306244
tcp,1,66,64,0.0,0.003719494678080082,1772757286.663604,100,100,0.387146,3.306244
tcp,1,67,64,0.0,0.003790769726037979,1772757286.6673248,100,100,0.387146,3.306244
