proto,client_id,request_id,payload_bytes,connect_time_s,rtt_s,wall_send,clients,requests_per_client,total_wall_s,throughput_MBps
tcp,0,0,1024,9.160116314888e-05,0.00028306152671575546,1772757277.6254942,1,100,0.003264,62.746053
tcp,0,1,1024,0.0,8.328631520271301e-05,1772757277.6257794,1,100,0.003264,62.746053
tcp,0,2,1024,0.0,3.445427864789963e-05,1772757277.625864,1,100,0.003264,62.746053
tcp,0,3,1024,0.0,3.2986514270305634e-05,1772757277.625899,1,100,0.003264,62.746053
tcp,0,4,1024,0.0,2.8236769139766693e-05,1772757277.6259327,1,100,0.003264,62.746053
tcp,0,5,1024,0.0,2.6405788958072662e-05,1772757277.6259618,1,100,0.003264,62.746053
tcp,0,6,1024,0.0,2.604164183139801e-05,1772757277.625991,1,100,0.003264,62.746053
tcp,0,7,1024,0.0,2.5377608835697174e-05,1772757277.6260154,1,100,0.003264,62.746053
tcp,0,8,1024,0.0,2.504885196685791e-05,1772757277.6260414,1,100,0.003264,62.746053
tcp,0,9,1024,0.0,2.427678555250168e-05,1772757277.6260672,1,100,0.003264,62.746053
tcp,0,10,1024,0.0,2.4935230612754822e-05,1772757277.626092,1,100,0.003264,62.746053
tcp,0,11,1024,0.0,2.4986453354358673e-05,1772757277.6261175,1,100,0.003264,62.746053
tcp,0,12,1024,0.0,2.5083310902118683e-05,1772757277.626143,1,100,0.003264,62.746053
tcp,0,13,1024,0.0,2.469029277563095e-05,1772757277.6261687,1,100,0.003264,62.746053
tcp,0,14,1024,0.0,2.4587847292423248e-05,1772757277.626194,1,100,0.003264,62.746053
tcp,0,15,1024,0.0,2.434477210044861e-05,1772757277.6262193,1,100,0.003264,62.746053
tcp,0,16,1024,0.0,2.470891922712326e-05,1772757277.626244,1,100,0.003264,62.746053
tcp,0,17,1024,0.0,2.4353154003620148e-05,1772757277.6262693,1,100,0.003264,62.746053
tcp,0,18,1024,0.0,2.4769455194473267e-05,1772757277.6262944,1,100,0.003264,62.746053
tcp,0,19,1024,0.0,2.4543143808841705e-05,1772757277.6263196,1,100,0.003264,62.746053
tcp,0,20,1024,0.0,2.2950582206249237e-05,1772757277.6263468,1,100,0.003264,62.746053
tcp,0,21,1024,0.0,2.446770668029785e-05,1772757277.6263702,1,100,0.003264,62.746053
tcp,0,22,1024,0.0,2.442672848701477e-05,1772757277.6263955,1,100,0.003264,62.746053
tcp,0,23,1024,0.0,2.9496848583221436e-05,1772757277.6264203,1,100,0.003264,62.746053
tcp,0,24,1024,0.0,2.635922282934189e-05,1772757277.6264505,1,100,0.003264,62.746053
tcp,0,25,1024,0.0,2.4349428713321686e-05,1772757277.6264775,1,100,0.003264,62.746053
tcp,0,26,1024,0.0,2.4927780032157898e-05,1772757277.6265025,1,100,0.003264,62.746053
tcp,0,27,1024,0.0,2.4707987904548645e-05,1772757277.626528,1,100,0.003264,62.746053
tcp,0,28,1024,0.0,2.4716369807720184e-05,1772757277.6265533,1,100,0.003264,62.746053
tcp,0,29,1024,0.0,2.3839063942432404e-05,1772757277.6265786,1,100,0.003264,62.746053
tcp,0,30,1024,0.0,2.4024397134780884e-05,1772757277.6266031,1,100,0.003264,62.746053
tcp,0,31,1024,0.0,2.4366192519664764e-05,1772757277.6266277,1,100,0.003264,62.746053
tcp,0,32,1024,0.0,2.955552190542221e-05,1772757277.6266525,1,100,0.003264,62.746053
tcp,0,33,1024,0.0,2.3801811039447784e-05,1772757277.6266832,1,100,0.003264,62.746053
tcp,0,34,1024,0.0,2.569984644651413e-05,1772757277.6267076,1,100,0.003264,62.746053
tcp,0,35,1024,0.0,2.440623939037323e-05,1772757277.6267338,1,100,0.003264,62.746053
tcp,0,36,1024,0.0,2.453010529279709e-05,1772757277.6267588,1,100,0.003264,62.746053
tcp,0,37,1024,0.0,2.3877248167991638e-05,1772757277.6267843,1,100,0.003264,62.746053
tcp,0,38,1024,0.0,2.7676112949848175e-05,1772757277.626809,1,100,0.003264,62.746053
tcp,0,39,1024,0.0,2.3257918655872345e-05,1772757277.6268399,1,100,0.003264,62.746053
tcp,0,40,1024,0.0,2.5463290512561798e-05,1772757277.6268637,1,100,0.003264,62.746053
tcp,0,41,1024,0.0,2.4640001356601715e-05,1772757277.6268897,1,100,0.003264,62.746053
tcp,0,42,1024,0.0,2.2909604012966156e-05,1772757277.626915,1,100,0.003264,62.746053
tcp,0,43,1024,0.0,2.422276884317398e-05,1772757277.6269386,1,100,0.003264,62.746053
tcp,0,44,1024,0.0,2.4381093680858612e-05,1772757277.6269631,1,100,0.003264,62.746053
tcp,0,45,1024,0.0,2.399832010269165e-05,1772757277.6269882,1,100,0.003264,62.746053
tcp,0,46,1024,0.0,2.4065375328063965e-05,1772757277.627013,1,100,0.003264,62.746053
tcp,0,47,1024,0.0,2.4922192096710205e-05,1772757277.6270375,1,100,0.003264,62.746053
tcp,0,48,1024,0.0,2.4320557713508606e-05,1772757277.6270628,1,100,0.003264,62.746053
tcp,0,49,1024,0.0,2.4099834263324738e-05,1772757277.6270876,1,100,0.003264,62.746053
tcp,0,50,1024,0.0,2.472754567861557e-05,1772757277.6271124,1,100,0.003264,62.746053
tcp,0,51,1024,0.0,2.4009495973587036e-05,1772757277.6271374,1,100,0.003264,62.746053
tcp,0,52,1024,0.0,2.4259090423583984e-05,1772757277.6271622,1,100,0.003264,62.746053
tcp,0,53,1024,0.0,2.4234876036643982e-05,1772757277.6271873,1,100,0.003264,62.746053
tcp,0,54,1024,0.0,2.3999251425266266e-05,1772757277.627212,1,100,0.003264,62.746053
tcp,0,55,1024,0.0,2.4448148906230927e-05,1772757277.6272366,1,100,0.003264,62.746053
tcp,0,56,1024,0.0,2.4087727069854736e-05,1772757277.6272614,1,100,0.003264,62.746053
tcp,0,57,1024,0.0,2.4206936359405518e-05,1772757277.6272862,1,100,0.003264,62.746053
tcp,0,58,1024,0.0,2.4990178644657135e-05,1772757277.627311,1,100,0.003264,62.746053
tcp,0,59,1024,0.0,2.3709610104560852e-05,1772757277.6273367,1,100,0.003264,62.746053
tcp,0,60,1024,0.0,2.44826078414917e-05,1772757277.627361,1,100,0.003264,62.746053
tcp,0,61,1024,0.0,2.4660490453243256e-05,1772757277.627386,1,100,0.003264,62.746053
tcp,0,62,1024,0.0,2.3608095943927765e-05,1772757277.6274114,1,100,0.003264,62.746053
tcp,0,63,1024,0.0,3.103446215391159e-05,1772757277.6274354,1,100,0.003264,62.746053
tcp,0,64,1024,0.0,2.822279930114746e-05,1772757277.6274672,1,100,0.003264,62.746053
tcp,0,65,1024,0.0,2.479739487171173e-05,1772757277.6274965,1,100,0.003264,62.746053
tcp,0,66,1024,0.0,2.39713117480278e-05,1772757277.6275218,1,100,0.003264,62.746053
tcp,0,67,1024,0.0,2.3931264877319336e-05,1772757277.6275463,1,100,0.003264,62.746053
tcp,0,68,1024,0.0,2.4675391614437103e-05,1772757277.6275709,1,100,0.003264,62.746053
tcp,0,69,1024,0.0,2.3662112653255463e-05,1772757277.6275964,1,100,0.003264,62.746053
tcp,0,70,1024,0.0,3.309454768896103e-05,1772757277.6276228,1,100,0.003264,62.746053
tcp,0,71,1024,0.0,2.5964342057704926e-05,1772757277.627654,1,100,0.003264,62.746053
tcp,0,72,1024,0.0,2.7361325919628143e-05,1772757277.6276808,1,100,0.003264,62.746053
tcp,0,73,1024,0.0,2.5034882128238678e-05,1772757277.6277087,1,100,0.003264,62.746053
tcp,0,74,1024,0.0,2.442300319671631e-05,1772757277.6277342,1,100,0.003264,62.746053
tcp,0,75,1024,0.0,2.4138018488883972e-05,1772757277.6277595,1,100,0.003264,62.746053
tcp,0,76,1024,0.0,2.4355947971343994e-05,1772757277.627784,1,100,0.003264,62.746053
tcp,0,77,1024,0.0,2.382509410381317e-05,1772757277.6278093,1,100,0.003264,62.746053
tcp,0,78,1024,0.0,3.333482891321182e-05,1772757277.6279047,1,100,0.003264,62.746053
tcp,0,79,1024,0.0,2.4438835680484772e-05,1772757277.6279387,1,100,0.003264,62.746053
tcp,0,80,1024,0.0,2.481415867805481e-05,1772757277.627964,1,100,0.003264,62.746053
tcp,0,81,1024,0.0,2.3801811039447784e-05,1772757277.6279895,1,100,0.003264,62.746053
tcp,0,82,1024,0.0,2.4339184165000916e-05,1772757277.6280138,1,100,0.003264,62.746053
tcp,0,83,1024,0.0,2.3885630071163177e-05,1772757277.628039,1,100,0.003264,62.746053
tcp,0,84,1024,0.0,2.510659396648407e-05,1772757277.6280632,1,100,0.003264,62.746053
tcp,0,85,1024,0.0,2.3412518203258514e-05,1772757277.6280892,1,100,0.003264,62.746053
tcp,0,86,1024,0.0,2.5024637579917908e-05,1772757277.6281133,1,100,0.003264,62.746053
tcp,0,87,1024,0.0,2.2926367819309235e-05,1772757277.628139,1,100,0.003264,62.746053
tcp,0,88,1024,0.0,2.4733133614063263e-05,1772757277.6281624,1,100,0.003264,62.746053
tcp,0,89,1024,0.0,2.361088991165161e-05,1772757277.628188,1,100,0.003264,62.746053
tcp,0,90,1024,0.0,2.505909651517868e-05,1772757277.628212,1,100,0.003264,62.746053
tcp,0,91,1024,0.0,2.3378059267997742e-05,1772757277.6282377,1,100,0.003264,62.746053
tcp,0,92,1024,0.0,2.490077167749405e-05,1772757277.6282616,1,100,0.003264,62.746053
tcp,0,93,1024,0.0,2.2465363144874573e-05,1772757277.628288,1,100,0.003264,62.746053
tcp,0,94,1024,0.0,2.365000545978546e-05,1772757277.6283112,1,100,0.003264,62.746053
tcp,0,95,1024,0.0,2.3915432393550873e-05,1772757277.628335,1,100,0.003264,62.746053
tcp,0,96,1024,0.0,3.4858472645282745e-05,1772757277.6283598,1,100,0.003264,62.746053
